COUNTRY, VALUE
Austria,574.01079899504
Belgium,240.7338264806633
Bulgaria,1371.4667196042096
Cyprus,1032.2940208356945
Czech Republic,2296.7426042687252
Germany,343.2722652658787
Denmark,221.03370788105056
Estonia,3395.241546489643
Spain,805.195031212887
Greece,1877.1673495107486
Finland,687.0299337342165
France,402.5587000684979
Croatia,2542.3237963740457
Hungary,2538.04409394443
Ireland,725.430900405254
Italy,703.4701358051959
Lithuania,2870.648573116687
Luxembourg,248.9230564269448
Latvia,2836.5551000555865
Malta,1928.392789930685
Netherlands,101.9758003295243
Poland,2262.7173345232627
Portugal,2486.097221908964
Romania,1551.913517561859
Sweden,374.176608320924
Slovenia,1878.23332156981
Slovak Republic,2827.5942006316145
Interreg,null
United Kingdom,253.056497536461
