CATEGORY, VALUE
Research & Innovation, 163.3705419902322
Information & Communication Technologies , 72.8827562246232
Competitiveness of SMEs, 457.89046315115843
Low-Carbon Economy, 168.26508147556302
Climate Change Adaptation & Risk Prevention, 122.06330165128479
Environment Protection & Resource Efficiency, 550.0044054622188
Network Infrastructures in Transport and Energy, 310.0846788737221
Sustainable & Quality Employment, 157.73570338881163
Social Inclusion, 229.8731390740953
Educational & Vocational Training, 173.45798302422824
Efficient Public Administration, 45.26926364797331
Technical Assistance, 91.42647841013549
