CATEGORY, VALUE
Research & Innovation, 72.77950265664404
Information & Communication Technologies , 2.302735521870231
Competitiveness of SMEs, 117.86331656417971
Low-Carbon Economy, 39.99251190614781
Climate Change Adaptation & Risk Prevention, 144.45372186938994
Environment Protection & Resource Efficiency, 151.4466627057179
Sustainable & Quality Employment, 63.492376391989914
Social Inclusion, 45.32805757131216
Educational & Vocational Training, 36.36620421279981
Technical Assistance, 13.004844334164938
