CATEGORY, VALUE
Research & Innovation, 49.76241872952378
Technical Assistance, 11.407416979778585
Information & Communication Technologies , 2.756241239189312
Competitiveness of SMEs, 49.6986179572171
Low-Carbon Economy, 35.85494954742285
Climate Change Adaptation & Risk Prevention, 33.10762306977365
Environment Protection & Resource Efficiency, 37.08768889233672
Sustainable & Quality Employment, 28.572812737780456
Social Inclusion, 63.6149320887652
Educational & Vocational Training, 31.409564024091026
