CATEGORY, VALUE
Research & Innovation, 75.05985422783434
Information & Communication Technologies , 3.540585804500237
Competitiveness of SMEs, 159.69744347489475
Low-Carbon Economy, 170.4067488841601
Climate Change Adaptation & Risk Prevention, 59.69323600934048
Environment Protection & Resource Efficiency, 303.20926708763074
Network Infrastructures in Transport and Energy, 198.02700981006078
Sustainable & Quality Employment, 86.10711049599026
Social Inclusion, 166.56744080071113
Educational & Vocational Training, 67.54469399480547
Efficient Public Administration, 34.916161705079475
Technical Assistance, 46.697167309201994
