CATEGORY, VALUE
Research & Innovation, 507.3909573880791
Information & Communication Technologies , 64.39985958724436
Competitiveness of SMEs, 499.28104176518025
Low-Carbon Economy, 242.4999798213773
Climate Change Adaptation & Risk Prevention, 149.8247833082433
Environment Protection & Resource Efficiency, 319.43240047179904
Network Infrastructures in Transport and Energy, 362.3808452330098
Sustainable & Quality Employment, 370.5540745207958
Social Inclusion, 357.2848871253534
Educational & Vocational Training, 322.45268722144937
Efficient Public Administration, 90.87597228599428
Technical Assistance, 108.8640577611171
