CATEGORY, VALUE
Research & Innovation, 106.94367351389545
Information & Communication Technologies , 78.36345334848404
Competitiveness of SMEs, 232.3500091821546
Low-Carbon Economy, 200.6333383311761
Climate Change Adaptation & Risk Prevention, 117.63563391587672
Social Inclusion, 135.2252870643611
Environment Protection & Resource Efficiency, 395.13566559753355
Network Infrastructures in Transport and Energy, 230.11515637568476
Sustainable & Quality Employment, 167.92251118021724
Educational & Vocational Training, 120.41002602869142
Efficient Public Administration, 25.89110342237414
Discontinued Measures, 5.710066054412509
Technical Assistance, 60.831425495887004
