CATEGORY, VALUE
Research & Innovation, 32.393962430780725
Information & Communication Technologies , 16.202382009393492
Competitiveness of SMEs, 55.98281316125971
Low-Carbon Economy, 67.26796946779928
Climate Change Adaptation & Risk Prevention, 169.4995076636187
Environment Protection & Resource Efficiency, 199.01493157518047
Sustainable & Quality Employment, 66.61892840037771
Social Inclusion, 75.78562304315732
Educational & Vocational Training, 37.704363128649725
Discontinued Measures, 1.0542349894112033
Technical Assistance, 3.9061845356256897
