CATEGORY, VALUE
Research & Innovation, 238.97255470027633
Information & Communication Technologies , 86.99671566731921
Competitiveness of SMEs, 383.9617651916121
Low-Carbon Economy, 267.6929675101304
Climate Change Adaptation & Risk Prevention, 319.59203835061345
Environment Protection & Resource Efficiency, 209.6372486526331
Network Infrastructures in Transport and Energy, 583.9455182428242
Sustainable & Quality Employment, 143.0168108691624
Social Inclusion, 237.81246576197728
Educational & Vocational Training, 271.0986155754807
Efficient Public Administration, 9.094906288517775
Discontinued Measures, 8.281774395598198
Technical Assistance, 76.45171884944132
