CATEGORY, VALUE
Research & Innovation, 235.5282765694851
Information & Communication Technologies , 36.85066417047285
Competitiveness of SMEs, 373.4664468115842
Low-Carbon Economy, 136.52409453994767
Climate Change Adaptation & Risk Prevention, 140.26309993242438
Environment Protection & Resource Efficiency, 297.99500599164077
Network Infrastructures in Transport and Energy, 127.37583584843281
Sustainable & Quality Employment, 184.22750880567597
Social Inclusion, 127.10215602116271
Discontinued Measures, 1.9251054596645263
Educational & Vocational Training, 115.86749845118995
Efficient Public Administration, 30.09101864680053
Technical Assistance, 71.0166103213284
