CATEGORY, VALUE
Research & Innovation, 36.83788094308661
Information & Communication Technologies , 25.915820548241037
Competitiveness of SMEs, 50.22289523670781
Low-Carbon Economy, 20.25787200732917
Climate Change Adaptation & Risk Prevention, 51.88336122979003
Environment Protection & Resource Efficiency, 60.47513704999972
Network Infrastructures in Transport and Energy, 7.841520494534159
Sustainable & Quality Employment, 47.564939719544434
Social Inclusion, 32.24490992684682
Educational & Vocational Training, 26.591973412274406
Technical Assistance, 14.3402977525698
