CATEGORY, VALUE
Research & Innovation, 30.048724692497117
Information & Communication Technologies , 3.1124777627453266
Competitiveness of SMEs, 91.35400078542386
Low-Carbon Economy, 26.930590763270846
Climate Change Adaptation & Risk Prevention, 147.5623643601798
Environment Protection & Resource Efficiency, 148.40366916655174
Sustainable & Quality Employment, 12.051795606500315
Social Inclusion, 64.50257933498058
Educational & Vocational Training, 31.20677548409499
Technical Assistance, 18.837821038795344
