CATEGORY, VALUE
Research & Innovation, 84.52104348483131
Information & Communication Technologies , 87.15147908874532
Competitiveness of SMEs, 126.42921672522574
Low-Carbon Economy, 60.35423868487665
Climate Change Adaptation & Risk Prevention, 46.576041784729306
Environment Protection & Resource Efficiency, 256.6491083909479
Network Infrastructures in Transport and Energy, 117.17716951906003
Sustainable & Quality Employment, 111.30013057727908
Social Inclusion, 66.41849899882882
Educational & Vocational Training, 31.947750198345233
Efficient Public Administration, 5.968066417318372
Technical Assistance, 31.543957081869358
Discontinued Measures, 6.257319883637463
