CATEGORY, VALUE
Research & Innovation, 237.90601421959477
Information & Communication Technologies , 101.90523914018186
Competitiveness of SMEs, 135.1583991687444
Low-Carbon Economy, 213.244913138061
Climate Change Adaptation & Risk Prevention, 126.74488822886099
Environment Protection & Resource Efficiency, 261.86579046380933
Network Infrastructures in Transport and Energy, 592.3892685472717
Sustainable & Quality Employment, 132.58556756205357
Social Inclusion, 188.8253195138673
Educational & Vocational Training, 186.0077378887911
Efficient Public Administration, 17.149132376978205
Discontinued Measures, 1.423382859149149
Technical Assistance, 101.5369511613618
