CATEGORY, VALUE
Research & Innovation, 226.48439060506996
Information & Communication Technologies , 69.93661706663165
Competitiveness of SMEs, 333.20545516845243
Low-Carbon Economy, 293.18541036333664
Climate Change Adaptation & Risk Prevention, 136.80444877318624
Environment Protection & Resource Efficiency, 296.60279551534865
Network Infrastructures in Transport and Energy, 338.06343894229974
Sustainable & Quality Employment, 336.7153879770132
Social Inclusion, 238.0157598174677
Educational & Vocational Training, 171.27801321709316
Efficient Public Administration, 69.48920382187902
Discontinued Measures, 0.2448118936995127
Technical Assistance, 28.018360782952097
