CATEGORY, VALUE
Research & Innovation, 65.80110396783242
Competitiveness of SMEs, 130.33541174336727
Information & Communication Technologies , 31.284185227710186
Low-Carbon Economy, 62.453521837233914
Climate Change Adaptation & Risk Prevention, 43.00030252594546
Environment Protection & Resource Efficiency, 78.22636776400903
Network Infrastructures in Transport and Energy, 40.24923186890528
Sustainable & Quality Employment, 82.61049238224628
Social Inclusion, 66.46500088855097
Educational & Vocational Training, 67.41642641906458
Efficient Public Administration, 13.161511755157592
Discontinued Measures, 0.12038868857837964
Technical Assistance, 22.346190736594608
