CATEGORY, VALUE
Research & Innovation, 240.7000008900263
Information & Communication Technologies , 84.8276546232416
Competitiveness of SMEs, 405.270766435876
Low-Carbon Economy, 381.1672886889297
Climate Change Adaptation & Risk Prevention, 110.55230020792384
Environment Protection & Resource Efficiency, 328.8275959499696
Network Infrastructures in Transport and Energy, 394.9598913072501
Sustainable & Quality Employment, 281.1788833045444
Social Inclusion, 237.4136473893817
Educational & Vocational Training, 234.07210856129987
Efficient Public Administration, 51.470626051343565
Discontinued Measures, 26.292482495578966
Technical Assistance, 93.9153272113217
