CATEGORY, VALUE
Research & Innovation, 169.5481525303719
Information & Communication Technologies , 71.61697846016249
Competitiveness of SMEs, 207.29275126704925
Low-Carbon Economy, 126.98813538794067
Climate Change Adaptation & Risk Prevention, 34.838012176716106
Environment Protection & Resource Efficiency, 566.1117227677573
Network Infrastructures in Transport and Energy, 243.65892617574718
Sustainable & Quality Employment, 56.04480323470224
Social Inclusion, 214.45197790117015
Educational & Vocational Training, 160.6395524334799
Efficient Public Administration, 20.49638518297682
Technical Assistance, 56.70539241261087
