CATEGORY, VALUE
Research & Innovation, 221.96867391749018
Information & Communication Technologies , 82.53299602000904
Competitiveness of SMEs, 279.9002582881571
Low-Carbon Economy, 256.9335192690217
Climate Change Adaptation & Risk Prevention, 62.936774182887824
Environment Protection & Resource Efficiency, 183.93616400987497
Network Infrastructures in Transport and Energy, 628.0157651182797
Sustainable & Quality Employment, 152.51207513711
Social Inclusion, 180.86874220740125
Educational & Vocational Training, 125.54366299673516
Efficient Public Administration, 4.533620348825308
Discontinued Measures, 9.375418036924755
Technical Assistance, 73.65966499054586
