CATEGORY, VALUE
Research & Innovation, 53.43617925475703
Information & Communication Technologies , 26.768876423601103
Competitiveness of SMEs, 161.50548934818278
Low-Carbon Economy, 196.1277907357521
Climate Change Adaptation & Risk Prevention, 83.12323447444867
Environment Protection & Resource Efficiency, 272.4802665086849
Network Infrastructures in Transport and Energy, 306.102950699089
Sustainable & Quality Employment, 117.48959512994217
Social Inclusion, 170.3941497727779
Educational & Vocational Training, 84.50602031227267
Efficient Public Administration, 39.255796904851664
Technical Assistance, 40.723167997499026
