CATEGORY, VALUE
Research & Innovation, 338.39402480821656
Information & Communication Technologies , 152.30223916593454
Competitiveness of SMEs, 175.28962182659703
Low-Carbon Economy, 195.83496321671967
Climate Change Adaptation & Risk Prevention, 186.53863872257625
Environment Protection & Resource Efficiency, 343.69774543199486
Network Infrastructures in Transport and Energy, 644.6972185336159
Sustainable & Quality Employment, 233.5424624018856
Social Inclusion, 261.3066900876516
Educational & Vocational Training, 135.08044547584007
Efficient Public Administration, 49.307158236815226
Technical Assistance, 111.60299272376672
