CATEGORY, VALUE
Research & Innovation, 24.60875419738817
Information & Communication Technologies , 3.9451253958275094
Competitiveness of SMEs, 37.94949831726825
Low-Carbon Economy, 24.726788933793078
Climate Change Adaptation & Risk Prevention, 30.008528425322694
Environment Protection & Resource Efficiency, 33.77538622059767
Network Infrastructures in Transport and Energy, 2.5327537124568393
Sustainable & Quality Employment, 35.43423849480768
Social Inclusion, 20.177343333153757
Educational & Vocational Training, 33.19489174324258
Technical Assistance, 6.703188762602762
